 ## Time[ps]  Epot[eV]  Etot[eV]  Ekin[eV]  <Edelta>  <Etot>  <T[K]>
         9.2250     -382.60823    -358.78045      23.82778        2.68945    -358.73957    1226.72491
         9.2500     -382.35444    -359.04853      23.30590        2.67386    -359.17383    1228.72464
         9.2750     -383.26434    -358.68017      24.58417        2.68311    -358.91618    1257.43022
         9.3000     -382.48857    -358.80568      23.68289        2.68946    -358.73940    1275.16205
         9.3250     -381.01301    -358.55859      22.45442        2.69541    -358.57370    1210.24408
         9.3500     -381.37071    -359.03300      22.33770        2.68578    -358.84191    1169.30428
         9.3750     -382.16460    -359.26821      22.89639        2.67489    -359.14515    1203.93232
         9.4000     -382.00586    -358.66820      23.33766        2.67815    -359.05450    1200.09929
         9.4250     -382.52097    -357.75251      24.76845        2.70045    -358.43320    1263.72199
         9.4500     -381.57369    -357.77255      23.80114        2.72366    -357.78675    1271.43775
         9.4750     -381.93550    -357.83651      24.09899        2.72293    -357.80716    1260.53026
         9.5000     -381.74719    -357.79380      23.95339        2.72313    -357.80159    1263.34732
         9.5250     -382.10930    -357.83624      24.27306        2.71921    -357.91066    1263.01170
         9.5500     -382.32649    -358.16139      24.16510        2.71517    -358.02318    1278.37261
         9.5750     -381.23781    -358.00046      23.23734        2.71358    -358.06757    1244.96087
         9.6000     -381.22013    -357.65627      23.56385        2.71919    -357.91119    1222.02960
         9.6250     -380.39203    -357.55662      22.83540        2.73046    -357.59753    1223.29259
         9.6500     -379.51262    -357.36101      22.15162        2.73550    -357.45711    1171.86716
         9.6750     -380.75174    -357.01520      23.73654        2.74586    -357.16836    1207.67101
         9.7000     -381.58452    -356.74691      24.83761        2.75878    -356.80870    1298.69648
         9.7250     -379.26020    -356.82123      22.43897        2.76098    -356.74720    1233.72024
         9.7500     -380.06398    -356.56402      23.49996        2.76524    -356.62873    1205.86145
         9.7750     -380.21448    -356.67723      23.53725        2.76484    -356.63986    1242.43568
         9.8000     -380.59687    -356.58941      24.00746        2.76444    -356.65104    1248.92069
         9.8250     -381.55308    -356.54765      25.00543        2.76899    -356.52433    1294.67079
         9.8500     -381.51316    -356.58716      24.92599        2.76754    -356.56447    1322.26965
         9.8750     -381.36228    -356.96038      24.40190        2.75870    -356.81091    1286.24719
         9.9000     -381.25876    -357.04191      24.21685        2.74766    -357.11825    1279.51779
         9.9250     -381.76818    -357.43894      24.32924        2.73367    -357.50807    1253.04568
         9.9500     -382.33235    -358.11694      24.21540        2.70419    -358.32911    1259.52074
         9.9750     -381.89109    -357.82510      24.06600        2.71566    -358.00960    1262.50037
        10.0000     -381.60616    -357.74753      23.85864        2.72443    -357.76540    1264.53696
